"";"Gen_1";"Gen_2";"Gen_3";"Gen_4";"Gen_5";"Gen_6";"Gen_7";"Gen_8";"Gen_9";"Gen_10";"Gen_11";"Gen_12";"Gen_13";"Gen_14";"Gen_15";"Gen_16";"Gen_17";"Gen_18";"Gen_19";"Gen_20";"Gen_21";"Gen_22";"Gen_23";"Gen_24";"Gen_25";"Gen_26";"Gen_27";"Gen_28";"Gen_29";"Gen_30";"Gen_31";"Gen_32";"Gen_33";"Gen_34";"Gen_35";"Gen_36";"Gen_37";"Gen_38";"Gen_39";"Gen_40";"Gen_41";"Gen_42";"Gen_43";"Gen_44";"Gen_45";"Gen_46";"Gen_47";"Gen_48";"Gen_49";"Gen_50"
"mostra67";36,63;8,83;45,25;32,51;2,65;69,58;0;24,67;6,33;26,04;54,1;12,72;94,88;48,84;19,3;7,32;32,18;27,5;32,78;0,02;52,34;20,21;6,37;0,44;52,1;10,97;18,69;24,45;5,8;46,1;59,77;61,16;59,38;7,39;60,15;5,99;13,7;49,39;45,87;6;3,08;37,54;14,35;27,7;52,67;14,48;66,75;0;64,29;0
"mostra68";4,52;2,35;51,11;37,12;17,13;71,13;0;1,12;90,45;8,03;43,84;3,85;66,76;52,92;8,22;25,65;39,22;30,37;12,56;47,31;17,59;16,09;9,58;22,65;1,73;12,58;5,38;4,07;5,97;49,78;39,25;54,75;64,71;3,16;14,1;25,87;10,5;53,33;39,7;5,16;60,17;53,75;31,77;3;18,03;12,15;68,46;0;40,6;0
"mostra69";43,42;9,9;40,33;45,33;31,65;64,53;0;5,58;19,91;7,51;16,22;58,86;69,53;62,08;9,31;5,12;32,15;30,09;13,58;33,49;12,81;9,56;5,59;8,87;65,1;2,01;5,23;10,66;10,67;42,69;54,86;56,13;55,46;68,08;10,03;18,2;21,78;56,19;43,12;1,71;4,73;44,46;60,5;23,55;8,91;0,39;77,46;0;35,21;0
"mostra70";6,94;11,75;44,94;43,12;27,54;57,8;0;12,06;4,73;12,6;39,88;6,45;27,92;50,1;10,75;8,2;33,95;31,66;29,26;2,88;31,51;42,23;9,54;27,17;29,13;2,08;4,32;11,36;43,82;53,59;55,73;52,19;59,63;10,45;13,53;12,04;20,63;55,92;51,77;24,64;14,48;44,74;26,32;55,55;4,34;55,3;66,04;0;26,6;0
"mostra71";12,77;52,55;53,15;43,71;2,32;55,36;0;8,57;2,74;7,89;2,2;7,84;9,09;51,69;30,04;14,29;47,37;22,73;27,45;2,88;36,08;12,37;4,81;4,38;11,52;0,03;9,28;47,02;22,52;45,41;47,37;58,42;56,5;0,09;3,81;22,02;20,07;57,49;49,86;9,19;10,22;51,15;8,58;27,02;29,88;17,47;70;0;3,03;0
"mostra72";50,97;4,28;50,93;43,87;37,66;62,22;0;3,65;12,95;46,24;13,51;31,47;0,33;50,79;7,37;12,69;42,32;33,79;15,77;14,93;11,46;0,63;21,84;1,24;0,51;2,01;6,56;6,4;14,03;47,09;51,25;48,86;50,89;33,68;0,17;37,89;9,6;48,55;52,66;0,6;4,25;48,91;38,69;29,86;0,63;4,87;68,78;0;27,6;0
"mostra73";10,54;30,64;51,52;43,92;10,28;70,93;0;26,69;19,26;45,91;13,86;9,24;16,11;54,63;31,35;1,91;37,49;26,77;15,73;67,4;16,85;55,54;44,36;29,76;0,3;36,78;13,35;25,24;6,56;47,9;47,85;53,05;50,04;10,5;3,13;0,7;9,77;59,62;48,58;18,54;15,51;54,77;26,58;5,79;33;0,06;73,87;0;15,66;0
"mostra74";33,55;7,22;51,69;36,1;29,13;49,1;0;61,17;13,3;27,45;11,66;0,99;6,94;54,2;4,7;8,9;42,98;26,56;6,07;8,94;7,29;30,65;14,52;1,62;22,83;7,67;49,13;7,88;8,92;50,29;49,09;50,57;58,15;33,11;46,08;12,11;9,18;52,59;42,33;19,91;31,02;43,74;11,39;6,11;8,22;0,22;59,85;0;7,14;0
"mostra75";3,66;0,08;51,74;38,77;35,94;59,61;0;23,6;9,05;4,61;21,65;31,04;21,26;44,53;45,83;10,21;41,44;25,69;31,2;37,69;10,23;1,06;2,13;44,95;15,71;5,9;1,46;88,36;25,22;49,6;49,48;66,32;62,04;8,9;19,05;22,11;23,67;52,38;42,88;18,99;7,82;56,08;10,78;0,05;15,92;2,38;68,35;0;18,98;0
"mostra76";9,37;40,77;43,91;33,2;32,23;67,07;0;2,92;22,55;13,65;23,16;11,19;11,52;49;1,85;20,18;41,91;28,28;16,95;10,26;105,69;1,84;78,03;0,52;17,68;42,62;5,91;5,5;10,77;47,9;46,83;48,46;53,53;60,44;20,97;6,49;3,78;51,51;37,99;21,51;6,98;54,86;2,35;5,39;33,16;74,01;69,75;0;56,09;0
"mostra77";17,41;32,24;46,59;41,83;14,5;63,44;0;13,5;31,41;3,48;5,12;14,75;2,1;44,62;2,92;48,68;42,97;26,14;35,93;8,91;6,25;6,65;40,21;80,62;29,03;102,79;2,86;24,85;4,69;44,38;43,64;53,82;56,58;129,41;0,14;21,97;25,74;54,11;39,69;8,1;10,85;50,13;13,54;41,59;3,66;19,63;69,1;0;17,05;0
"mostra78";18,84;25,28;41,01;41,44;9,65;66,78;0;22,06;6,06;39,96;39,05;30,6;7,09;51,3;22,88;2,36;39,76;16,97;23,02;113,49;17,63;33,13;21,19;11,68;18,55;9,39;13,63;0,57;12,45;42,07;48,08;61,1;52,62;6,48;3,68;6,5;5,19;51,96;38,72;11,66;61,41;44,77;13,15;33,4;23,75;17,44;61,58;0;1,76;0
"mostra79";7,01;6,35;49,65;39,85;18,99;59,77;0;28,2;0,41;18,32;23,86;1,24;26,54;46,05;24,16;31,27;37,29;19,83;37,3;0,54;45,99;47,86;0,45;12,25;16,5;29,73;10,56;12,22;0,84;46,39;52,58;48,94;57,22;5,24;41,26;3,57;46,06;42,8;44,9;47,48;6,21;56,53;21,92;2,35;5;23,15;67,55;0;37,74;0
"mostra80";3,52;31,3;49,25;45,45;18,2;56,3;0;26,52;28,03;14,09;1,66;31,24;17,64;39,99;31,17;3,53;46,35;9,24;20,62;13,78;30,5;22,02;4,09;21,55;14,11;20,38;20,93;19,33;34,6;37,6;49,11;60,32;54,78;8,89;31,5;11,67;1,24;45,66;43,08;0,66;27,99;51,59;8,67;25,51;49,22;58,42;63,68;0;19,1;0
"mostra81";18,05;10,59;47,66;39,12;57,45;69,23;0;5,34;14,42;9,84;16,85;3,36;47;52,96;4,96;30,32;37,57;23,92;29,01;2,71;1,87;2,87;5,56;4,12;64,02;29,28;39,51;0,62;7,31;43,48;50,02;52,14;46,23;1,17;12,25;1,52;19,53;35,07;43,65;12,53;5,33;46,86;23,11;2,19;18,55;0,24;64,55;0;4,72;0
"mostra82";6,59;14,46;53,27;48;3,18;63,75;0;29,54;1,65;151,64;3,02;22,85;22,11;47,95;18,11;9,39;41,41;30,67;41,75;0,56;14,86;17,7;15,51;3,44;1,62;11,99;4,88;45,67;7,57;49,82;43,63;49,51;49,98;55,46;34,46;1,17;3,95;49,75;44,21;10,46;20,03;48,76;3,41;36,38;35,98;21,4;67,09;0;21,62;0
"mostra83";18,69;9,94;46,94;42,68;0,97;63,48;0;2,63;12,1;9,95;9,01;45,48;1,56;42,7;19,77;23,55;43,63;17,42;15,38;2;1,02;8,39;58,22;3,64;31,45;18,04;14,66;4,39;20,56;42,36;48,99;54,01;61,15;11,2;19,8;28;17,32;56,5;33,56;10,44;11,89;46,26;1,35;6,87;41,8;11,25;71,69;0;4,06;0
"mostra84";14,71;65,86;55,81;45,82;23,97;65,3;0;38,2;95,48;11,06;7,34;2,26;1,58;50,75;2,18;9,85;40,65;19,42;9,38;45,03;13,57;3,37;61,88;33,98;1,59;25,79;7,04;4,17;12,73;44,55;55,82;57,32;55,83;11,24;19,26;0,04;31,78;43,24;37,19;13,04;2,48;50,78;8,34;10,89;51,32;15;76,12;0;2,74;0
"mostra85";11,55;20,91;50,5;45,75;27,97;67,01;0;8,88;32,63;5,9;5,8;13,61;53,82;46,17;0,54;49,87;47,29;32,6;33,05;4,02;3,12;4,13;1,08;10,33;30,72;2,18;3,61;3,69;16,39;38,36;49,88;55,12;51,86;17,55;6,07;24,57;4,81;45,25;37,76;16,27;3,8;45,73;10,49;24,05;49,8;29,22;62,92;0;6,53;0
"mostra86";2,99;0,25;53,63;44,54;0,61;66,03;0;55,8;2,06;24,75;3,68;5,97;25,8;53,18;57,78;12,56;39,46;25,39;0,78;22,07;7,47;11,75;8,81;2,35;9,58;7,11;2,18;0,04;19,17;50,17;54,49;52,88;59,44;11,44;33,1;17,34;53,21;58,43;36,63;2,35;9,94;54,01;0,9;0,47;19,33;13,85;76,45;0;9,86;0
"mostra87";28,23;2,32;53,57;40,94;4,98;68,21;0;13,6;26,85;8,24;3,04;12,05;46,54;50,36;40,24;58,42;47,72;17,23;3,28;11,44;15,13;17,35;15,54;15,42;31,36;27,86;35,91;1,85;23,02;48,49;49,12;48,23;64,38;1,23;29,29;54,8;6,16;51,22;49,33;88,06;16,52;51,7;19,96;33,63;3,94;2,72;66,7;0;90,61;0
"mostra88";25,72;0,27;52,36;44,7;24,92;63,19;0;22,15;0,27;10,33;67,47;3,35;10,85;52,6;9,71;5,46;49,52;28,61;5,82;41,72;63,22;57,62;16,58;7,02;30,17;14,76;53,72;84,42;16,56;50,11;55,57;61,77;54,51;11,96;5,76;12,12;9,32;43,06;35,02;1,43;4,2;47,75;3,18;1,29;5,2;8,67;68,93;0;1,99;0
"mostra89";16,8;26,34;48,75;45,87;13,32;54,85;0;14,68;17,9;8,11;2,35;5,71;1,64;53,52;115,11;20,41;31,41;24,31;3,35;27,05;2,01;5,13;33,45;5,73;22,53;0,73;8,73;0,02;0,9;50,13;47,29;52,52;50,84;5,65;13,35;96,69;21,15;54,44;46,67;97,03;8,36;43,84;2,08;18,84;13,77;12,6;71,54;0;18,92;0
"mostra90";15,39;3,5;52,51;31,22;26,05;60,87;0;49,75;10,9;26,74;50,98;10,85;28,42;57,8;27,16;26,76;44,1;25,57;3,16;1,55;5,77;1,12;42,91;15,62;3,84;42,24;16,39;9,81;5,17;54,51;45,18;65,98;55,29;11,06;9,39;24,24;17,87;50,14;35,79;22,71;17,91;46,59;13,54;0,93;2,29;20,95;67,17;0;17,26;0
"mostra91";20,21;8,73;53,69;39,81;10,31;63,54;0;4,19;5,54;45,84;63,39;5,46;60,55;55,57;3,6;37,7;49,69;23,79;6,73;18,31;6,27;45,2;28,98;10,05;0,21;7,25;13,75;14,71;5,09;49,98;51,88;57,57;47,01;1,89;18,29;11,62;5,48;51,4;44,07;78,18;14,08;51,05;9,22;25,25;4,77;2,97;76,43;0;92,38;0
"mostra92";53,98;20,73;39,03;43,26;31,99;58,32;0;12,45;10,91;2,67;26,76;33,1;15,9;47,15;2,98;22,95;36,73;24,79;13,84;10,49;14,58;26,2;2,75;14,84;49,43;5,35;9,78;5,44;5,89;48,95;45,08;58,2;60,27;24,95;11,25;8,43;11,48;49,62;45,75;12,17;19,16;60,59;1,84;9,22;11,68;21,37;70,84;0;10,68;0
"mostra93";20,34;8,68;47,63;45,19;5,64;57,09;0;30,81;4,24;2,11;4,83;14,24;9,51;45,41;0,54;8,32;44,55;19,02;82,92;40,16;44,7;2,32;13,28;12,84;35,03;60,11;8,21;2,51;27,33;50,28;54,49;68,15;54,47;52,69;3,44;6,06;17,55;50,62;35,31;8;28,97;58,16;38,55;3,88;14,06;20,9;70,38;0;10,79;0
"mostra94";2,1;111,32;51,07;42,68;2,45;69,18;0;10,55;2,36;1,63;61,69;30,66;40,08;50;11,79;0,43;43,18;24,62;29,19;24,8;11,24;5,82;10,44;23,37;13,78;16,55;25;7,37;57,68;43,21;50,65;57,52;58,69;7,7;1,1;18,87;15,39;44,84;34,12;16,33;12,57;50,49;5,26;7,36;2,55;25,45;68,7;0;38,67;0
"mostra95";11,13;27,88;53;45,45;25,49;62,18;0;8,28;3,61;4,87;43,02;73,1;32,15;49,46;1,96;8,8;45,24;30,78;15,62;25,17;6,77;16,06;7,66;25,08;0,35;61,08;3,49;5,68;32,77;53,31;55,17;50,37;63,66;7,08;18,36;29,05;47,7;50,45;43,73;2,87;130,65;49,8;5,12;12,73;15,06;61,96;57,94;0;33,42;0
"mostra96";1,02;0,2;50,49;39,58;3,15;68,28;0;26,28;6,92;10,98;4,82;4,26;26,05;40,23;26,64;9,96;38,55;22,63;21,08;37,36;10,45;2,76;2,04;26,06;5,46;5,07;0,83;6,3;5,75;45,07;48,29;50,15;54,81;11,27;79,47;40,37;19,49;56,61;43,86;3,91;27,06;48,66;20,67;5,84;14,56;8,95;77,12;0;17,51;0
"mostra97";32,05;72,09;53,27;41,77;15,44;55,41;0;7,75;12,29;30,22;60,89;1,79;25,72;48,43;11,09;28,9;44,38;31,57;30,17;14,3;7,64;6,82;36,43;16,23;9,04;0,86;4,15;19,07;13,94;53,49;52,26;63,26;49,24;21,43;84,04;15,72;19,78;48,46;44,81;50,17;0,51;48,19;4,23;13,53;0,29;4,77;67,94;0;37,74;0
"mostra98";33,78;21,6;47,39;43,6;49,5;54,69;0;33,6;8,67;9,01;1,33;3,71;8,29;48,18;6,88;11,93;40,4;21,82;1,59;27,61;2,69;29,69;26,89;26,44;26,5;66,1;2,92;19,26;2,76;45,79;46,53;57,57;53,65;13,51;55,63;2,3;19,33;57,39;49,68;6,52;22,23;46,69;35,32;16,34;55,38;13,5;71,05;0;3,7;0
"mostra99";46,84;13,15;49,59;36,26;24,3;63,84;0;18,06;20,61;32,53;6,98;30,1;7,74;48,65;24,88;6,89;36,5;19,84;0,27;3,86;16,87;1,35;10,47;7,36;1,95;6,44;24,31;46,27;1,31;62,69;48,8;51,62;60,62;5,38;6,23;14,05;7,68;47,65;35,4;6,3;1,31;57,16;24,06;70,74;13,56;10,78;72,51;0;17,1;0
"mostra100";12,92;20,34;51,42;46,41;9,81;56,07;0;8,95;32,69;11,01;22,93;75,15;21,36;52,6;27,95;7,51;39,67;29,17;9,22;0,6;6,52;105,06;32,23;55,83;50;20,85;1,71;6,98;56,2;52,54;44,96;58,8;51,38;8,88;0,04;6,46;0,18;45,67;37,74;29,08;19,78;44,97;16,5;37,6;26,21;23,77;67,73;0;14,58;0
"mostra101";5,22;26,44;44,08;40,21;5,62;67,6;0;5,37;1,5;24,87;0,04;42,21;3,04;47,92;23,59;1,46;33,74;18,71;0,99;1,98;4,99;2,01;5,85;27,82;17,33;7,75;41,89;1,99;43,46;52,8;59,63;50,26;49,62;16,47;3,81;8,45;3,06;55;45,81;0,2;15,06;40,83;5,46;14,53;10,07;5,49;72,58;0;56,62;0
"mostra102";32,4;1,65;54,22;41,33;19,55;57,54;0;3,68;26,81;6,81;29,02;55,7;5,51;44,98;25,74;33,17;43,6;28,44;52,06;21,74;16,31;2,63;23,88;21,12;5,88;4,53;15,18;16,66;5,94;55,4;50,26;58,02;56,86;42,87;16,8;42,42;43,47;44,54;43,89;26,07;74,83;53,75;11,63;3,54;13,56;4,49;64,19;0;57,98;0
"mostra103";64,55;43,59;48,03;49,63;18,86;53,46;0;15,84;26,33;14,98;44,9;9,66;2,09;50,83;83,91;10,78;46,87;21,04;18,5;37,03;25,68;24,55;15,97;12,32;4,25;4,28;18,59;2,59;51,52;51,66;59;54,48;53,27;61,49;60,39;48,5;18,86;54,27;49,71;1,61;72,23;51,59;6,03;7,68;7,38;15,56;68,92;0;69,17;0
"mostra104";52,49;8,51;49,14;43,76;16,88;62,81;0;16,71;66,47;11,05;61,87;0,58;10,84;51,41;8,18;0,48;51,72;26,28;3,26;73,18;0,22;11,38;5,48;1,05;0,65;3,9;5,93;12,52;9,71;51,97;47,24;56,63;50,52;8,87;18,6;9,13;15,02;46,86;50,36;15,72;9,95;48,56;9,21;14,4;1,56;53,29;61,89;0;21,57;0
"mostra105";9,33;12,12;57,45;40,16;3,34;59,56;0;14,66;3;38,29;6,95;1,76;11,15;56,22;26,36;32,97;41,67;22,19;8,95;4,44;9,69;1,24;8,93;51,52;54,06;60,14;8,46;3,86;0,69;51,88;50,54;54,1;57,53;9,17;2,76;22,62;40,51;52,1;49,22;27,56;10,52;49,4;35,39;14,37;24,77;27,87;62,06;0;47,3;0
"mostra106";8,38;7,78;51,58;42,92;2,85;62,6;0;25,38;5,22;24,48;47,3;10,29;2,97;48,99;36,45;65,72;34,83;22,22;4,36;0,63;3;9,75;23,65;37,45;14,24;2,59;0,05;15,32;15,34;43,41;53,95;56,3;55,69;43,1;1,43;12,03;24,96;48,02;44,08;46,41;9,97;53,63;63,4;14,78;56,68;10,96;61,22;0;50,77;0
"mostra107";8,79;8,37;47,97;39,57;4,59;61,61;0;3,1;35,7;1,41;46,87;4,98;4,67;42,17;31,99;17,98;40,09;26,09;4,51;7,35;9,9;5,22;6,03;11,23;73,32;28,01;31;5,28;33,57;50,77;48,78;59,44;55,82;21,59;4,27;6,96;9,95;48,05;41;27,18;1,86;49,3;1,89;10,44;2,29;47,89;67,37;0;58,15;0
"mostra108";5,43;2,12;50,74;43,75;2,59;58,99;0;7,34;11,53;1,91;37,13;2,8;7,5;51,12;13,88;8,47;34,46;32,49;36,81;15,93;19,45;6,96;31,54;25,67;9,68;18,94;2,78;19,19;26,57;52,29;51,92;60,42;57,99;26,99;46,61;22,79;6,01;51,92;43,43;51,02;9,27;47,95;11,12;7,28;6,7;19,88;65,56;0;1,79;0
"mostra109";2,45;5,06;47,38;43,84;0,22;63,7;0;1,15;6,99;27,59;26,82;12,53;47,81;43,7;60,06;10,18;40,14;18,53;31,58;86,07;26,7;9,47;40,76;1,35;14,23;3,65;44,25;4,53;0,18;56,76;44,15;60,77;53,41;2,58;23,9;35,69;14,33;58,31;43,54;6,98;10,35;43,6;2,67;22,7;16,96;5,08;66,12;0;12,63;0
"mostra110";30,43;2,74;51,57;40,08;57,99;64,24;0;7,76;0,48;5,59;5,44;1,47;10,24;57,85;9,84;4,15;39,59;23,52;1,96;8,74;8,3;34,2;12,93;27,45;5,77;39,93;16,2;12,57;15,18;48,03;57,59;60,36;46,76;22,8;23,27;5,34;5,98;44,36;46,88;70,29;7,27;48,72;48,12;2,22;129,32;0,32;76,98;0;29,91;0
"mostra111";17,08;42,11;51,65;43,56;40,99;59,43;0;8,91;4,73;26,34;8,23;40,65;39,53;48,48;10,2;34,59;43,79;22,09;3,84;51,65;17,85;29,65;4,37;3,48;10,06;12,94;0,31;4,41;7,72;50,69;50,36;58,77;57,3;24,11;57,37;32,69;70,91;49,34;45,98;20,73;34,85;52,02;5,89;4,81;6,22;9,13;71,01;0;10,33;0
"mostra112";9,74;39,31;47,89;40,41;5,02;57,87;0;32,6;8,23;9,89;13,57;16,98;7,29;42,54;5,12;96,6;39,91;27,43;71,9;7,6;33,29;6,14;27,88;18,64;10,51;43,33;16,2;4,94;26,52;40,95;47,36;53,5;59,02;5,17;7,4;11,95;1,11;47,92;44,63;0,39;49,4;43,92;55,22;24,94;29,67;14,94;68,83;0;17,61;0
"mostra113";15,9;3,39;51,37;47,54;34,96;53,88;0;10,28;11,89;15,3;4,46;0,42;28,56;51,16;19,58;23,64;40,34;15,93;14,77;8,29;13,98;0,71;8,25;19,45;1,81;42,37;2,08;30,27;16,24;44,19;47,38;55,03;56,66;3,5;31,38;20,34;6;53,26;55,88;9,65;9,71;56,65;4,51;9,78;6,67;15,32;70,73;0;30,46;0
"mostra114";7,19;14,35;48,22;39,15;33,87;58,87;0;109,79;47,23;7,5;3,38;44,29;70,48;52,83;19,8;0,09;42,25;20,79;14,23;110,18;1,88;17,63;28,63;14,2;8,79;31,94;2,71;18,97;28,3;51,2;53,73;57,3;54,84;1,82;3,63;39,95;1,64;41,76;40,39;11,1;1,56;49,85;37,7;6,44;2,22;2,19;70,99;0;0,52;0
"mostra115";2,17;54,19;55,36;55,52;4,59;57,14;0;9,96;1,84;13,24;29,39;1,72;9;48,37;20,1;12,64;41,66;17,65;2,14;9,99;0,99;30,32;0,63;20,65;15,02;12,55;25,52;47,47;9,06;53,49;44,09;44,75;60,86;0,56;58,13;24,23;9,58;46,62;41,32;11,05;44,87;47,33;40,47;46,94;28,48;60,55;67,44;0;21,75;0
"mostra116";62,75;9,94;46,97;52,2;0,22;59,3;0;2,33;4,47;0,17;19,55;18,54;18,12;54,62;17,06;9,37;33,04;22,15;3,13;9,63;14,58;0,49;36,21;20,15;33,07;3,44;22,91;29,94;59,01;44,97;43,23;53,1;57,24;11,36;58,3;15,5;17,04;43,47;43,85;2,42;91,95;47,71;38,27;14,66;14,18;11,3;72,34;0;33,5;0
"mostra117";2,26;4,44;63,34;32,15;31,89;58,77;0;50,67;1,97;22,4;0,51;9,04;7,74;44,3;2,66;13,07;42,35;30,97;4,44;7,25;2,91;11,03;7,83;0,32;6,28;16,25;4,91;70,63;6,57;50,66;48,94;58,55;56,15;11,1;97,95;39,25;33,07;47,97;41,51;18,69;28,7;58,94;1,53;1,51;9,57;25,66;57,41;0;40,1;0
"mostra118";53,11;6,44;60,01;39,33;20,66;59,55;0;2,09;2,68;20,91;19,72;54,87;17,41;46,31;5,67;3,06;24,26;20,87;2,21;56,82;3,96;14,63;1,09;45,74;9,91;10,33;44,19;27,94;11,58;52;49,55;56,37;51,01;48,31;2,86;17,48;10,79;56,8;36,65;8,43;33,22;49,02;1,71;35,8;71,56;16,2;63,48;0;19,45;0
"mostra119";0,93;4,28;39,96;43,58;4,25;55,22;0;3,85;21,78;15,97;33,89;4,14;8,35;44,72;9,87;13,87;44,44;19,6;1,18;19,63;26,22;6,94;1,93;12,18;33,17;4,28;5,27;7,52;25,04;48,58;51,29;56,53;53,97;11,29;40,84;11,21;51,12;46,69;46,99;7,59;38,24;43,49;32,81;20,51;3,19;22,35;69,06;0;0,27;0
"mostra120";17,13;10,04;47,15;41,44;58,34;61,44;0;18,51;35,31;5,59;12,68;22,94;7,34;52,49;15,24;9,83;32,2;24,81;4,7;7,96;17,37;10,63;11,77;0,91;9,02;6,75;2,45;5,06;28,5;50,81;56,02;53,89;60,59;42,95;16,79;20,15;5,75;45,43;36,69;39,96;33,66;49,64;28,83;27,31;7,84;6,11;77,67;0;38,07;0
"mostra121";4,57;70,28;48,97;48,97;33,76;59,53;0;0,07;30,72;16,24;43,9;13,75;34,65;46,06;12,03;10,96;46,06;50,59;4,05;7,21;49,93;17,43;15,43;61,12;18,48;24,86;0,71;21,54;17,46;55,37;47,2;44,79;46,2;27,5;41,65;3,31;16,37;50,59;53,92;0,69;4,52;50,1;2,86;20,02;7,33;7,45;50,1;0;3,37;0
"mostra122";1,49;59,34;56,76;51,76;8,2;51,88;0;3,82;28,28;19,91;3,97;29,12;10,03;64,23;5,97;94,83;59,23;58,94;1,16;0,61;6,72;26,9;0,14;14,72;19,87;10,06;10,24;13,66;69,52;51,61;62,13;62,69;49,3;1,54;49,83;5,58;35,56;63,94;58,38;0,32;11,76;59,51;38,47;4,47;28,34;23,03;54,51;0;35,25;0
"mostra123";5,67;15,27;68,9;53,9;3,42;43,21;0;7,19;56,29;12,23;17,28;8,47;8,91;56,42;27,125;2,79;41,42;39,68;1,96;26,08;9,25;35,46;19,46;7,74;6,1;35,34;136,74;14,94;23,14;49,32;61,9;49,07;39,93;0,9;40,72;9,51;11,76;54,68;44,18;8,67;0,26;58,63;8,66;25,45;14,19;9,91;43,63;0;17,95;0
"mostra124";4,69;7,73;67,15;47,15;26,04;41,93;0;6,59;34,77;32,55;6,92;14,87;5,86;65,09;34,38;9,13;45,09;40,6;6,57;7,71;3,28;59,14;38,33;23,53;2,92;4,25;13,63;41,2;10,13;39,54;64,97;27,46;40,94;6,05;33,38;3,71;30,81;60,6;41,66;5,03;3,57;64,81;9,35;14,8;24,75;29,99;44,81;0;3,07;0
"mostra125";31,86;34,44;53,26;53,26;3,27;51,66;0;18,88;3,17;37,05;13,92;6,48;19,19;47,49;4,56;23,91;47,49;45,26;7,85;24,9;41,54;12,13;0,41;35,68;17,49;29,49;61,31;6,39;9,22;49,86;48,85;41,36;63,42;16,06;23,62;7,22;25,62;45,26;61,5;20,57;26,05;51,57;12,27;34,19;3,91;0,17;51,57;0;21,21;0
"mostra126";11,23;13,6;49,21;44,21;49,34;59,79;0;28,5;23,51;11,4;19,54;6,79;33,12;64,81;11,01;25,41;59,81;58,85;23,47;3,08;8,2;39,03;27,92;11;5,01;8,79;6,45;27,7;21,28;45,72;58,52;54,45;55,72;0,18;72,71;6,31;10,64;63,85;49,63;7,31;37,84;61,08;9,52;2,42;18,52;8,99;56,08;0;0,62;0
"mostra127";23,51;21,57;61,43;46,43;105,29;43,35;0;12,14;48,71;24,85;16,19;10,02;1,73;56,24;59,075;2,94;41,24;51,32;4,6;21,13;11,49;58,66;79,43;1,06;9,54;10,14;28,62;21,46;0,45;51,9;57,49;49,52;41,04;1,18;42,85;7,39;12,24;66,32;44,19;6,49;24,19;57,66;15,56;18,48;5,22;1,35;42,66;0;27,89;0
"mostra128";4,19;15,67;65,23;45,23;8,18;46,71;0;51,42;17,79;17,53;35,12;14,4;22,31;54,06;3,36;33,49;34,06;41,22;25,42;18,05;21,82;48,32;15,77;18,76;23;20,87;75,52;6,45;43,87;45,94;62,74;32,17;33,29;13,53;34,32;72,62;5,72;61,22;39,05;48,62;16,27;52,72;16,39;27,2;50,66;7,41;32,72;0;27,29;0
"mostra129";22,54;2,86;51,37;51,37;9,9;51,15;0;12,29;7,25;2,52;13,53;41,56;3,16;57,48;1,47;16,04;57,48;47,55;37,2;0,33;7,4;7,82;5,61;9,4;6,66;32,45;17,9;6,28;10,24;49,83;57,79;53,21;47,71;8,2;4,66;49,21;11,06;47,55;50,78;10,16;8,96;56,64;5,25;11,03;9,74;76,47;56,64;0;17,68;0
"mostra130";23,12;28,91;64,42;59,42;7;67,12;0;15,8;38,85;32,65;18,64;6,99;12,14;63,42;47,535;41,64;58,42;56,66;23,06;15,31;9,62;27,5;5,62;21,18;10,01;6,75;4,06;13,13;23,81;57,67;64,48;57,56;49,5;7,64;34,87;4,85;58,6;61,66;57,27;50,06;3,58;64,41;52,05;17,78;20,72;91,71;59,41;0;11,7;0
"mostra131";38,64;12,14;60,63;45,63;11,43;45,35;0;17,03;3,89;17,68;29,76;12,2;21,14;55,31;17,4;8,27;40,31;43,25;35,8;8,73;40,84;12,91;61,02;13,52;51,78;7,94;4,44;5,56;24,09;54,83;58,33;45,01;46,5;29,86;7,14;26,47;9,57;58,25;51,99;5,22;44,09;63,52;10,53;4,94;5,19;35,17;48,52;0;58,94;0
"mostra132";3,51;8,96;62,18;42,18;12,99;35,21;0;0,38;15,37;5,45;7,79;1,87;83,89;56,39;36,26;10,7;36,39;46,16;2,26;5,36;7,36;18,14;8,61;2,98;6,46;16,41;40,78;1,93;3,65;45,96;61,19;39,61;40,01;1,76;5,62;4,79;68,69;66,16;42,35;42,18;7,61;56,09;17,99;34,54;5,93;43,45;36,09;0;52,53;0
"mostra133";58,19;6,54;55,12;55,12;10,54;41,54;0;13,52;4,63;11,42;10,23;30,82;2,86;44,31;64,02;1,13;44,31;48,72;3,31;47,91;66,29;14,56;22,76;2,46;0,22;24,09;14,61;0,76;5,95;42,42;50,35;42,35;50,32;13,5;0,47;11,47;0,22;48,72;50,23;8,32;17,12;50,61;52,39;16,86;18,47;42,41;50,61;0;37,91;0
"mostra134";20,3;7,89;55,85;50,85;31,86;50,42;0;5,28;7,72;12,77;7,37;14,21;4,57;53,02;14,55;9,3;48,02;49,96;7,86;15,69;3,15;29,59;23,02;3,77;6,37;4,73;9,4;3,33;82,27;56,55;64,39;56,07;59,52;6,06;32,9;41,35;104,02;54,96;53,93;17,29;23,81;61,03;8,25;1,39;2,85;48,03;56,03;0;11,42;0
